customer_id,name,email,city
CUST-0001,Catherine Jordan,carpentermonique@pearson.com,Richardsport
CUST-0002,Evan Thomas,zparks@white-herring.com,New Kellyshire
CUST-0003,Leslie Fritz,jacquelinemiller@young.com,North Aaron
CUST-0004,Nicholas Warner,sabrina05@reeves.org,Campbellbury
CUST-0005,Angela Clark,melissacombs@white.com,Lake Valerie
CUST-0006,Mr. James Brown PhD,harringtonjennifer@smith-kirk.com,Christopherview
CUST-0007,Donald Reeves,bsmith@herrera.com,South Jason
CUST-0008,Dan Davis,michael53@white.biz,Lake Sarah
CUST-0009,Michelle Phillips,wilkinsthomas@owen.com,Dustinburgh
CUST-0010,Rebecca Gordon,frederickkidd@duran-gonzales.com,South Ashleyberg
CUST-0011,Lisa Thornton,susanstephens@hotmail.com,North Kristinetown
CUST-0012,Ashlee Gilbert,nataliewatkins@poole.org,Velezborough
CUST-0013,Danielle Smith,leondenise@gmail.com,Riversstad
CUST-0014,Linda Clark,carlamiles@dawson-daniels.org,West Lori
CUST-0015,Laura Sparks,wheelerdanielle@small.com,Lake Brandon
CUST-0016,Eric Martin,crystal37@gmail.com,Taylorborough
CUST-0017,Paul Porter,sanderssteven@gmail.com,East Melissaborough
CUST-0018,Wendy White,haley99@hotmail.com,Branchview
CUST-0019,Justin Ross,fosterkaren@hotmail.com,West Bradleymouth
CUST-0020,Rachel Rogers,latoyanavarro@king-fritz.biz,New Michael
CUST-0021,Steven Andrews,jonathanwright@gmail.com,Deannatown
CUST-0022,William Castillo,pbird@hotmail.com,Josephtown
CUST-0023,Jennifer Morris,matthewdillon@gmail.com,Lake Jessica
CUST-0024,Mrs. Jennifer Rangel DDS,thompsoneric@gmail.com,Travishaven
CUST-0025,David Cordova,kim13@terry.com,Lake Rachel
CUST-0026,Annette Blake MD,cbriggs@gmail.com,Anitashire
CUST-0027,Kelly Cox,butlerlori@yahoo.com,Claytonton
CUST-0028,Veronica Stanton,jorge31@cox-lee.com,Lake Marilyn
CUST-0029,Jacob Schaefer,paula73@hotmail.com,Robertberg
CUST-0030,Beverly Gonzales,carlsonjennifer@hotmail.com,Lake Sarah
CUST-0031,Allen Levy,brandon22@hotmail.com,North Gregoryshire
CUST-0032,Gina Alvarado,heather27@smith.com,Petersonview
CUST-0033,Brandon Wheeler,vluna@camacho-strong.com,Teresabury
CUST-0034,Angel Jones,erin50@gmail.com,Lake Elizabeth
CUST-0035,Tina Hines,lisaconway@montoya.com,Simonville
CUST-0036,Donna Little,jeremyhansen@mccarthy.biz,West Russell
CUST-0037,Natalie Weaver,smeyer@gmail.com,Kimborough
CUST-0038,Anthony Pearson,corey74@yahoo.com,Caseyland
CUST-0039,Matthew Robinson,ruizchristopher@gmail.com,Kevinstad
CUST-0040,Melissa Williams,brittanythompson@gmail.com,Lake Rebeccamouth
CUST-0041,Austin Miller,thomasjulie@glenn-johnson.com,Alexanderport
CUST-0042,Mrs. Christine Gross,william27@gmail.com,Port Mauriceside
CUST-0043,Robert White,fhowell@hotmail.com,Nicoleland
CUST-0044,Kathryn Morales,mariahood@hotmail.com,Fuentesfurt
CUST-0045,Ashley Harris,kimberly79@hotmail.com,Williamton
CUST-0046,Ricky Harris,cindy03@gmail.com,Brianberg
CUST-0047,Richard Duncan,gonzalestammy@campbell.biz,South Candicebury
CUST-0048,Ryan Martinez,droberson@yahoo.com,Hessberg
CUST-0049,Jason Morrison,tgraves@gmail.com,Lake Javier
CUST-0050,Sarah Page,dsullivan@bailey.com,West Chad
